target_chembl_id,assay_chembl_id,confidence_score,assay_type
CHEMBL5907,CHEMBL983612,8,B
CHEMBL5907,CHEMBL1060249,9,B
CHEMBL5907,CHEMBL1049104,8,B
CHEMBL5907,CHEMBL1166045,8,B
CHEMBL5907,CHEMBL1174876,8,B
CHEMBL5907,CHEMBL1219261,8,B
CHEMBL5907,CHEMBL1244479,8,B
CHEMBL5907,CHEMBL1827236,8,B
CHEMBL5907,CHEMBL1908780,8,B
CHEMBL5907,CHEMBL2014942,8,B
CHEMBL5907,CHEMBL2210648,8,B
CHEMBL5907,CHEMBL2426974,9,B
CHEMBL5907,CHEMBL3631271,9,B
CHEMBL5907,CHEMBL3748233,9,B
CHEMBL5907,CHEMBL4025205,9,B
CHEMBL5907,CHEMBL4034361,9,B
CHEMBL5907,CHEMBL4034362,9,B
CHEMBL5907,CHEMBL4044016,9,B
CHEMBL5907,CHEMBL4045720,9,B
CHEMBL5907,CHEMBL4045961,9,B
CHEMBL5907,CHEMBL4055207,9,B
CHEMBL5907,CHEMBL4118378,9,B
CHEMBL5907,CHEMBL4157095,9,B
CHEMBL5907,CHEMBL4185874,9,B
CHEMBL5907,CHEMBL4230123,9,B
CHEMBL5907,CHEMBL4230774,9,B
CHEMBL5907,CHEMBL4263841,9,B
CHEMBL5907,CHEMBL4264363,9,B
CHEMBL5907,CHEMBL4307873,9,B
CHEMBL5907,CHEMBL4322781,9,B
CHEMBL5907,CHEMBL4327741,9,B
CHEMBL5907,CHEMBL4328105,9,B
CHEMBL5907,CHEMBL4328469,9,B
CHEMBL5907,CHEMBL4333460,9,B
CHEMBL5907,CHEMBL4335136,9,B
CHEMBL5907,CHEMBL4337192,9,B
CHEMBL5907,CHEMBL4352419,9,B
CHEMBL5907,CHEMBL4357952,9,B
CHEMBL5907,CHEMBL4365790,9,B
CHEMBL5907,CHEMBL4366452,9,B
CHEMBL5907,CHEMBL4382583,9,B
CHEMBL5907,CHEMBL4389302,9,B
CHEMBL5907,CHEMBL4389779,9,B
CHEMBL5907,CHEMBL4391405,9,B
CHEMBL5907,CHEMBL4405425,9,B
CHEMBL5907,CHEMBL4420662,9,B
CHEMBL5907,CHEMBL4674333,9,B
CHEMBL5907,CHEMBL4720683,9,B
CHEMBL5907,CHEMBL4721033,9,B
CHEMBL5907,CHEMBL4721592,9,B
CHEMBL5907,CHEMBL4804729,9,B
CHEMBL5907,CHEMBL4804730,9,B
CHEMBL5907,CHEMBL4804988,9,B
CHEMBL5907,CHEMBL4805576,9,B
CHEMBL5907,CHEMBL4806035,9,B
CHEMBL5907,CHEMBL4806593,9,B
CHEMBL5907,CHEMBL4879778,9,B
CHEMBL5907,CHEMBL4884740,9,B
CHEMBL5907,CHEMBL4885031,9,B
CHEMBL5907,CHEMBL4885321,9,B
CHEMBL5907,CHEMBL4887282,9,B
CHEMBL5907,CHEMBL4887918,9,B
CHEMBL5907,CHEMBL5049722,9,B
CHEMBL5907,CHEMBL5058238,9,B
CHEMBL5907,CHEMBL5059176,9,B
CHEMBL5907,CHEMBL5059894,9,B
CHEMBL5907,CHEMBL5213498,9,B
CHEMBL5907,CHEMBL5213614,9,B
CHEMBL5907,CHEMBL5213641,9,B
CHEMBL5907,CHEMBL5213915,9,B
CHEMBL5907,CHEMBL5214019,9,B
CHEMBL5907,CHEMBL5214064,9,B
CHEMBL5907,CHEMBL5214752,9,B
CHEMBL5907,CHEMBL5363968,9,B
CHEMBL5907,CHEMBL5373873,9,B
CHEMBL5907,CHEMBL5384772,9,B
CHEMBL5907,CHEMBL5464575,9,B
CHEMBL5907,CHEMBL5464953,9,B
CHEMBL5907,CHEMBL5465815,9,B
CHEMBL5907,CHEMBL5466663,9,B
CHEMBL5907,CHEMBL5467522,9,B
CHEMBL5907,CHEMBL5467974,9,B
CHEMBL5907,CHEMBL5468654,9,B
CHEMBL5907,CHEMBL5468655,9,B
CHEMBL5907,CHEMBL5470701,9,B
CHEMBL5907,CHEMBL5470702,9,B
CHEMBL5907,CHEMBL5470703,9,B
CHEMBL5907,CHEMBL5470704,9,B
CHEMBL5907,CHEMBL5470705,9,B
CHEMBL5907,CHEMBL5472313,9,B
CHEMBL5907,CHEMBL5472862,9,B
CHEMBL5907,CHEMBL5473333,9,B
CHEMBL5907,CHEMBL5473818,9,B
CHEMBL5907,CHEMBL5474213,9,B
CHEMBL5907,CHEMBL5474760,9,B
CHEMBL5907,CHEMBL5475381,9,B
CHEMBL5907,CHEMBL5475382,9,B
CHEMBL5907,CHEMBL5476053,9,B
CHEMBL5907,CHEMBL5477120,9,B
CHEMBL5907,CHEMBL5477628,9,B
CHEMBL5907,CHEMBL5478417,9,B
CHEMBL5907,CHEMBL5479211,9,B
CHEMBL5907,CHEMBL5480052,9,B
CHEMBL5907,CHEMBL5480564,9,B
