target_chembl_id,pref_name
CHEMBL1075104,Leucine-rich repeat serine/threonine-protein kinase 2
CHEMBL1075115,Dual specificity tyrosine-phosphorylation-regulated kinase 4
CHEMBL1075133,Rhodopsin kinase GRK7
CHEMBL1075163,Serine/threonine-protein kinase haspin
CHEMBL1075167,Homeodomain-interacting protein kinase 4
CHEMBL1075195,Serine/threonine-protein kinase TAO2
CHEMBL1772932,Mitotic checkpoint serine/threonine-protein kinase BUB1
CHEMBL1795199,Receptor-interacting serine/threonine-protein kinase 3
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2
CHEMBL1841,Tyrosine-protein kinase Fyn
CHEMBL1844,Macrophage colony-stimulating factor 1 receptor
CHEMBL1862,Tyrosine-protein kinase ABL1
CHEMBL1868,Vascular endothelial growth factor receptor 1
CHEMBL1906,RAF proto-oncogene serine/threonine-protein kinase
CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12
CHEMBL1913,Platelet-derived growth factor receptor beta
CHEMBL1936,Mast/stem cell growth factor receptor Kit
CHEMBL1955,Vascular endothelial growth factor receptor 3
CHEMBL1957,Insulin-like growth factor 1 receptor
CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3
CHEMBL1981,Insulin receptor
CHEMBL1991,Inhibitor of nuclear factor kappa-B kinase subunit beta
CHEMBL2007,Platelet-derived growth factor receptor alpha
CHEMBL203,Epidermal growth factor receptor
CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret
CHEMBL2068,Ephrin type-A receptor 2
CHEMBL2073,Tyrosine-protein kinase Yes
CHEMBL2109,Dual specificity mitogen-activated protein kinase kinase 3
CHEMBL2116,5'-AMP-activated protein kinase catalytic subunit alpha-2
CHEMBL2147,Serine/threonine-protein kinase pim-1
CHEMBL2148,Tyrosine-protein kinase JAK3
CHEMBL2171,Dual specificity mitogen-activated protein kinase kinase 6
CHEMBL2185,Aurora kinase B
CHEMBL2208,MAP kinase-activated protein kinase 2
CHEMBL2250,Tyrosine-protein kinase Blk
CHEMBL2276,Mitogen-activated protein kinase 8
CHEMBL2292,Dual specificity tyrosine-phosphorylation-regulated kinase 1A
CHEMBL2343,Serine/threonine-protein kinase Sgk1
CHEMBL2345,Ribosomal protein S6 kinase alpha-3
CHEMBL2349,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"
CHEMBL2358,Casein kinase II subunit beta
CHEMBL2426,Casein kinase I isoform gamma-1
CHEMBL2428,"Myosin light chain kinase, smooth muscle"
CHEMBL2431,RAC-beta serine/threonine-protein kinase
CHEMBL2468,Death-associated protein kinase 3
CHEMBL2493,Calcium/calmodulin-dependent protein kinase type 1
CHEMBL2494,Calcium/calmodulin-dependent protein kinase type IV
CHEMBL2508,Cyclin-dependent kinase 6
CHEMBL2527,Serine/threonine-protein kinase Chk2
CHEMBL2534,3-phosphoinositide-dependent protein kinase 1
CHEMBL2543,Casein kinase I isoform gamma-2
CHEMBL2553,Ribosomal protein S6 kinase alpha-1
CHEMBL2558,Death-associated protein kinase 1
CHEMBL258,Tyrosine-protein kinase Lck
CHEMBL2595,Serine/threonine-protein kinase D3
