"ChEMBL ID"	"Name"	"Accessions"	"Type"	"Organism"	"Compounds"	"Activities"	"Tax ID"	"Species Group Flag"
"CHEMBL4101"	"cAMP-dependent protein kinase catalytic subunit alpha"	"P17612"	"SINGLE PROTEIN"	"Homo sapiens"	"2614"	"3628"	"9606"	"False"
"CHEMBL3988"	"Ephrin type-A receptor 4"	"P54764"	"SINGLE PROTEIN"	"Homo sapiens"	"1295"	"2183"	"9606"	"False"
"CHEMBL6005"	"Serine/threonine-protein kinase 33"	"Q9BYT3"	"SINGLE PROTEIN"	"Homo sapiens"	"596"	"870"	"9606"	"False"
"CHEMBL4070"	"Casein kinase II subunit alpha'"	"P19784"	"SINGLE PROTEIN"	"Homo sapiens"	"1228"	"2287"	"9606"	"False"
"CHEMBL6029"	"Eukaryotic translation initiation factor 2-alpha kinase 1"	"Q9BQI3"	"SINGLE PROTEIN"	"Homo sapiens"	"556"	"740"	"9606"	"False"
"CHEMBL3530"	"Dual specificity mitogen-activated protein kinase kinase 7"	"O14733"	"SINGLE PROTEIN"	"Homo sapiens"	"938"	"1227"	"9606"	"False"
"CHEMBL1293321"	"Cyclin-T2"	"O60583"	"SINGLE PROTEIN"	"Homo sapiens"	"5"	"8"	"9606"	"False"
"CHEMBL1075184"	"Proto-oncogene serine/threonine-protein kinase mos"	"P00540"	"SINGLE PROTEIN"	"Homo sapiens"	"4"	"4"	"9606"	"False"
"CHEMBL4246"	"Tyrosine-protein kinase Tec"	"P42680"	"SINGLE PROTEIN"	"Homo sapiens"	"1367"	"2557"	"9606"	"False"
"CHEMBL4852"	"Mitogen-activated protein kinase kinase kinase kinase 5"	"Q9Y4K4"	"SINGLE PROTEIN"	"Homo sapiens"	"1385"	"1640"	"9606"	"False"
"CHEMBL5044"	"Serine/threonine-protein kinase Nek5"	"Q6P3R8"	"SINGLE PROTEIN"	"Homo sapiens"	"332"	"397"	"9606"	"False"
"CHEMBL3829"	"Calcium/calmodulin-dependent protein kinase type II subunit gamma"	"Q13555"	"SINGLE PROTEIN"	"Homo sapiens"	"1385"	"1909"	"9606"	"False"
"CHEMBL3384"	"Serine/threonine-protein kinase N1"	"Q16512"	"SINGLE PROTEIN"	"Homo sapiens"	"715"	"970"	"9606"	"False"
"CHEMBL5435"	"Serine/threonine-protein kinase ULK2"	"Q8IYT8"	"SINGLE PROTEIN"	"Homo sapiens"	"515"	"743"	"9606"	"False"
"CHEMBL5776"	"Mitogen-activated protein kinase kinase kinase 7"	"O43318"	"SINGLE PROTEIN"	"Homo sapiens"	"919"	"1434"	"9606"	"False"
"CHEMBL4576"	"Homeodomain-interacting protein kinase 2"	"Q9H2X6"	"SINGLE PROTEIN"	"Homo sapiens"	"1423"	"1776"	"9606"	"False"
"CHEMBL4487"	"Serine/threonine-protein kinase PAK 2"	"Q13177"	"SINGLE PROTEIN"	"Homo sapiens"	"1308"	"2067"	"9606"	"False"
"CHEMBL6003"	"Testis-specific serine/threonine-protein kinase 1"	"Q9BXA7"	"SINGLE PROTEIN"	"Homo sapiens"	"1473"	"2143"	"9606"	"False"
"CHEMBL5358"	"eIF-2-alpha kinase GCN2"	"Q9P2K8"	"SINGLE PROTEIN"	"Homo sapiens"	"936"	"2203"	"9606"	"False"
"CHEMBL4948"	"Dual specificity mitogen-activated protein kinase kinase 5"	"Q13163"	"SINGLE PROTEIN"	"Homo sapiens"	"583"	"792"	"9606"	"False"
"CHEMBL5667"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 beta"	"P78356"	"SINGLE PROTEIN"	"Homo sapiens"	"389"	"488"	"9606"	"False"
"CHEMBL5261"	"Serine/threonine-protein kinase TAO1"	"Q7L7X3"	"SINGLE PROTEIN"	"Homo sapiens"	"1658"	"2137"	"9606"	"False"
"CHEMBL5604"	"Dual specificity testis-specific protein kinase 1"	"Q15569"	"SINGLE PROTEIN"	"Homo sapiens"	"489"	"602"	"9606"	"False"
"CHEMBL5388"	"Serine/threonine-protein kinase tousled-like 1"	"Q9UKI8"	"SINGLE PROTEIN"	"Homo sapiens"	"414"	"540"	"9606"	"False"
"CHEMBL3835"	"Serine/threonine-protein kinase Nek2"	"P51955"	"SINGLE PROTEIN"	"Homo sapiens"	"2622"	"3769"	"9606"	"False"
"CHEMBL2896"	"cGMP-dependent protein kinase 2"	"Q13237"	"SINGLE PROTEIN"	"Homo sapiens"	"1225"	"1702"	"9606"	"False"
"CHEMBL6149"	"Serine/threonine-protein kinase SIK3"	"Q9Y2K2"	"SINGLE PROTEIN"	"Homo sapiens"	"632"	"778"	"9606"	"False"
"CHEMBL5642"	"Activin receptor type-1C"	"Q8NER5"	"SINGLE PROTEIN"	"Homo sapiens"	"17"	"35"	"9606"	"False"
"CHEMBL4523"	"Serine/threonine-protein kinase pim-2"	"Q9P1W9"	"SINGLE PROTEIN"	"Homo sapiens"	"5477"	"10561"	"9606"	"False"
