molecule_chembl_id,target_chembl_id,pchembl_value,activity_type
CHEMBL10,CHEMBL1906,6.01,inactive
CHEMBL10,CHEMBL203,5.77,inactive
CHEMBL10,CHEMBL2276,5.9399999999999995,inactive
CHEMBL10,CHEMBL2553,6.5,active
CHEMBL10,CHEMBL258,5.55,inactive
CHEMBL10,CHEMBL260,7.32,active
CHEMBL10,CHEMBL262,5.77,inactive
CHEMBL10,CHEMBL2637,6.744999999999999,active
CHEMBL10,CHEMBL267,5.29,inactive
CHEMBL10,CHEMBL2828,7.17,active
CHEMBL10,CHEMBL2964,5.02,inactive
CHEMBL10,CHEMBL3886,5.36,inactive
CHEMBL10,CHEMBL3961,6.6,active
CHEMBL10,CHEMBL3983,5.6,inactive
CHEMBL10,CHEMBL4040,4.75,inactive
CHEMBL10,CHEMBL4179,6.89,active
CHEMBL10,CHEMBL4202,5.385,inactive
CHEMBL10,CHEMBL4223,5.555,inactive
CHEMBL10,CHEMBL4267,5.75,inactive
CHEMBL10,CHEMBL4355,7.195,active
CHEMBL10,CHEMBL4367,5.35,inactive
CHEMBL10,CHEMBL4439,5.15,inactive
CHEMBL10,CHEMBL4516,5.21,inactive
CHEMBL10,CHEMBL4527,5.955,inactive
CHEMBL10,CHEMBL4601,5.23,inactive
CHEMBL10,CHEMBL4674,5.795,inactive
CHEMBL10,CHEMBL4924,6.6,active
CHEMBL10,CHEMBL4937,6.83,active
CHEMBL10,CHEMBL5014,6.6,active
CHEMBL10,CHEMBL5052,5.57,inactive
CHEMBL10,CHEMBL5122,5.3,inactive
CHEMBL10,CHEMBL5145,6.215,inactive
CHEMBL10,CHEMBL5310,5.52,inactive
CHEMBL10,CHEMBL5319,6.0,inactive
CHEMBL10,CHEMBL5364,7.6,active
CHEMBL10,CHEMBL5579,6.38,inactive
CHEMBL10,CHEMBL6166,5.43,inactive
CHEMBL1000,CHEMBL4128,4.05,inactive
CHEMBL10009,CHEMBL4040,4.9,inactive
CHEMBL100206,CHEMBL3530,6.64,active
CHEMBL100446,CHEMBL258,4.19,inactive
CHEMBL100473,CHEMBL203,4.35,inactive
CHEMBL100473,CHEMBL4040,6.4,inactive
CHEMBL100714,CHEMBL203,5.55,inactive
CHEMBL100714,CHEMBL4224,5.82,inactive
CHEMBL100739,CHEMBL299,6.27,inactive
CHEMBL100818,CHEMBL2208,5.42,inactive
CHEMBL100914,CHEMBL299,6.91,active
CHEMBL101,CHEMBL4040,4.7,inactive
CHEMBL101221,CHEMBL279,7.8,active
CHEMBL101253,CHEMBL1844,7.75,active
CHEMBL101253,CHEMBL1868,6.85,active
CHEMBL101253,CHEMBL1913,7.24,active
CHEMBL101253,CHEMBL1936,5.1,inactive
CHEMBL101253,CHEMBL1955,6.6,active
CHEMBL101253,CHEMBL2007,7.02,active
CHEMBL101253,CHEMBL203,6.34,inactive
CHEMBL101253,CHEMBL2041,5.12,inactive
CHEMBL101253,CHEMBL279,7.27,active
CHEMBL101253,CHEMBL3886,5.36,inactive
CHEMBL101253,CHEMBL4223,5.75,inactive
CHEMBL101253,CHEMBL4601,5.595000000000001,inactive
CHEMBL101253,CHEMBL5319,6.57,active
CHEMBL101253,CHEMBL5579,5.06,inactive
CHEMBL101325,CHEMBL279,5.08,inactive
CHEMBL1014,CHEMBL4040,4.45,inactive
CHEMBL101461,CHEMBL279,6.24,inactive
CHEMBL101581,CHEMBL203,5.6,inactive
CHEMBL101616,CHEMBL299,6.91,active
CHEMBL1017,CHEMBL4040,4.8,inactive
CHEMBL101801,CHEMBL301,5.62,inactive
CHEMBL101917,CHEMBL267,6.89,active
CHEMBL101965,CHEMBL258,5.42,inactive
CHEMBL102042,CHEMBL299,6.27,inactive
CHEMBL102106,CHEMBL299,6.27,inactive
CHEMBL102217,CHEMBL267,6.12,inactive
CHEMBL102301,CHEMBL1936,5.75,inactive
CHEMBL102301,CHEMBL2007,4.59,inactive
CHEMBL102346,CHEMBL1913,6.89,active
CHEMBL102346,CHEMBL2007,7.3,active
CHEMBL102362,CHEMBL258,7.22,active
CHEMBL102396,CHEMBL3142,5.96,inactive
CHEMBL102426,CHEMBL2842,4.705,inactive
CHEMBL102529,CHEMBL3142,6.32,inactive
CHEMBL102581,CHEMBL3142,6.8,active
CHEMBL102651,CHEMBL203,6.38,inactive
CHEMBL102714,CHEMBL2553,7.0,active
CHEMBL102714,CHEMBL262,7.47,active
CHEMBL102714,CHEMBL2850,7.47,active
CHEMBL102714,CHEMBL308,6.26,inactive
CHEMBL102714,CHEMBL4040,4.4,inactive
CHEMBL102726,CHEMBL203,6.5,active
CHEMBL102801,CHEMBL267,6.7,active
CHEMBL102821,CHEMBL258,6.0,inactive
CHEMBL10284,CHEMBL3797,4.65,inactive
CHEMBL10284,CHEMBL4040,6.6,active
CHEMBL102936,CHEMBL3830,5.92,inactive
CHEMBL102953,CHEMBL262,5.3,inactive
CHEMBL103,CHEMBL4040,4.625,inactive
CHEMBL1030,CHEMBL4147,5.6899999999999995,inactive
CHEMBL103005,CHEMBL1824,7.1850000000000005,active
CHEMBL103006,CHEMBL262,4.82,inactive
CHEMBL103009,CHEMBL262,6.0,inactive
CHEMBL103014,CHEMBL203,6.27,inactive
CHEMBL103055,CHEMBL262,7.6,active
CHEMBL103055,CHEMBL3045,7.6,active
CHEMBL103080,CHEMBL3830,6.66,active
CHEMBL1031,CHEMBL4147,5.74,inactive
CHEMBL103104,CHEMBL308,6.4,inactive
CHEMBL103115,CHEMBL308,6.7,active
CHEMBL10316,CHEMBL2842,5.005,inactive
CHEMBL103307,CHEMBL2041,5.64,inactive
CHEMBL103421,CHEMBL262,7.51,active
CHEMBL103506,CHEMBL262,8.4,active
CHEMBL103552,CHEMBL203,5.39,inactive
CHEMBL103552,CHEMBL258,5.1,inactive
CHEMBL103595,CHEMBL279,7.22,active
CHEMBL103628,CHEMBL262,7.37,active
CHEMBL103628,CHEMBL3045,7.09,active
CHEMBL103667,CHEMBL1844,5.09,inactive
CHEMBL103667,CHEMBL1862,5.555,inactive
CHEMBL103667,CHEMBL1868,6.39,inactive
CHEMBL103667,CHEMBL1913,5.98,inactive
CHEMBL103667,CHEMBL1936,6.64,active
CHEMBL103667,CHEMBL1955,5.375,inactive
CHEMBL103667,CHEMBL1974,5.64,inactive
CHEMBL103667,CHEMBL2007,5.92,inactive
CHEMBL103667,CHEMBL203,5.17,inactive
CHEMBL103667,CHEMBL2041,6.46,inactive
CHEMBL103667,CHEMBL2068,5.359999999999999,inactive
CHEMBL103667,CHEMBL2073,5.31,inactive
CHEMBL103667,CHEMBL2250,6.17,inactive
CHEMBL103667,CHEMBL258,5.9399999999999995,inactive
CHEMBL103667,CHEMBL260,8.12,active
CHEMBL103667,CHEMBL262,4.43,inactive
CHEMBL103667,CHEMBL2637,6.96,active
CHEMBL103667,CHEMBL2695,5.15,inactive
CHEMBL103667,CHEMBL279,5.455,inactive
CHEMBL103667,CHEMBL2815,6.055,inactive
CHEMBL103667,CHEMBL2939,6.3,inactive
CHEMBL103667,CHEMBL3290,6.36,inactive
CHEMBL103667,CHEMBL3650,5.37,inactive
CHEMBL103667,CHEMBL3886,6.07,inactive
CHEMBL103667,CHEMBL3905,5.57,inactive
CHEMBL103667,CHEMBL3961,6.24,inactive
CHEMBL103667,CHEMBL3981,8.035,active
CHEMBL103667,CHEMBL3983,5.7,inactive
CHEMBL103667,CHEMBL3987,5.869999999999999,inactive
CHEMBL103667,CHEMBL3988,5.475,inactive
CHEMBL103667,CHEMBL4036,6.055,inactive
CHEMBL103667,CHEMBL4128,7.83,active
CHEMBL103667,CHEMBL4134,6.71,active
CHEMBL103667,CHEMBL4179,8.22,active
CHEMBL103667,CHEMBL4202,6.945,active
CHEMBL103667,CHEMBL4204,5.88,inactive
CHEMBL103667,CHEMBL4223,6.44,inactive
CHEMBL103667,CHEMBL4516,5.03,inactive
CHEMBL103667,CHEMBL4527,6.85,active
CHEMBL103667,CHEMBL4602,6.365,inactive
CHEMBL103667,CHEMBL4674,7.355,active
CHEMBL103667,CHEMBL4898,6.24,inactive
CHEMBL103667,CHEMBL4954,6.15,inactive
CHEMBL103667,CHEMBL5052,6.04,inactive
CHEMBL103667,CHEMBL5072,5.345,inactive
CHEMBL103667,CHEMBL5122,7.58,active
CHEMBL103667,CHEMBL5145,6.325,inactive
CHEMBL103667,CHEMBL5198,5.52,inactive
CHEMBL103667,CHEMBL5319,8.72,active
CHEMBL103667,CHEMBL5331,5.43,inactive
CHEMBL103667,CHEMBL5364,6.0,inactive
CHEMBL103667,CHEMBL5469,5.82,inactive
CHEMBL103667,CHEMBL5579,5.68,inactive
CHEMBL103667,CHEMBL5608,6.72,active
CHEMBL103667,CHEMBL5627,5.85,inactive
CHEMBL103667,CHEMBL5684,5.72,inactive
CHEMBL103667,CHEMBL5719,6.66,active
CHEMBL103667,CHEMBL5810,5.01,inactive
CHEMBL103667,CHEMBL6166,7.05,active
CHEMBL103860,CHEMBL203,5.48,inactive
CHEMBL103860,CHEMBL258,6.0,inactive
CHEMBL103864,CHEMBL203,7.3,active
CHEMBL103960,CHEMBL258,4.38,inactive
CHEMBL104,CHEMBL4040,4.55,inactive
CHEMBL104067,CHEMBL1913,7.7,active
CHEMBL104067,CHEMBL2007,7.05,active
CHEMBL104119,CHEMBL260,5.62,inactive
CHEMBL104255,CHEMBL3797,4.55,inactive
CHEMBL104264,CHEMBL2431,6.23,inactive
CHEMBL104264,CHEMBL2973,6.53,active
CHEMBL104264,CHEMBL4237,6.92,active
CHEMBL104264,CHEMBL4282,5.66,inactive
CHEMBL104264,CHEMBL4501,7.1,active
CHEMBL104279,CHEMBL2815,7.43,active
CHEMBL104279,CHEMBL4898,8.12,active
CHEMBL104279,CHEMBL5608,8.16,active
CHEMBL104333,CHEMBL2599,8.3,active
CHEMBL104333,CHEMBL2815,7.88,active
CHEMBL104333,CHEMBL4898,7.6850000000000005,active
CHEMBL104333,CHEMBL5608,8.39,active
CHEMBL104409,CHEMBL5404,6.09,inactive
CHEMBL104468,CHEMBL2842,5.19,inactive
CHEMBL104468,CHEMBL3142,6.64,active
CHEMBL104519,CHEMBL2815,8.0,active
CHEMBL104519,CHEMBL4898,7.869999999999999,active
CHEMBL104519,CHEMBL5608,8.37,active
CHEMBL104644,CHEMBL3142,6.04,inactive
CHEMBL104682,CHEMBL3142,6.58,active
CHEMBL104749,CHEMBL260,7.615,active
CHEMBL105053,CHEMBL203,8.0,active
CHEMBL105082,CHEMBL260,7.43,active
CHEMBL1051,CHEMBL4040,4.9,inactive
CHEMBL105248,CHEMBL260,8.22,active
CHEMBL105256,CHEMBL3142,6.51,active
CHEMBL105310,CHEMBL4040,4.5,inactive
CHEMBL105421,CHEMBL2599,5.09,inactive
CHEMBL105436,CHEMBL267,7.5,active
CHEMBL105442,CHEMBL1906,8.61,active
CHEMBL105442,CHEMBL1913,5.51,inactive
CHEMBL105442,CHEMBL2964,7.1,active
CHEMBL105442,CHEMBL3587,7.34,active
CHEMBL105442,CHEMBL3629,7.77,active
CHEMBL105442,CHEMBL3935,5.75,inactive
CHEMBL105442,CHEMBL4147,5.47,inactive
CHEMBL105457,CHEMBL4040,5.5,inactive
CHEMBL105477,CHEMBL262,8.22,active
CHEMBL105521,CHEMBL3142,6.46,inactive
CHEMBL105612,CHEMBL3142,6.75,active
CHEMBL105613,CHEMBL3142,5.925,inactive
CHEMBL105620,CHEMBL262,8.1,active
CHEMBL105678,CHEMBL3142,6.8,active
