ChEMBL ID,Name,Accessions,Type,Organism,Compounds,Activities
CHEMBL4101,cAMP-dependent protein kinase catalytic subunit alpha,P17612,SINGLE PROTEIN,Homo sapiens,2614,3628
CHEMBL3988,Ephrin type-A receptor 4,P54764,SINGLE PROTEIN,Homo sapiens,1295,2183
CHEMBL6005,Serine/threonine-protein kinase 33,Q9BYT3,SINGLE PROTEIN,Homo sapiens,596,870
CHEMBL4070,Casein kinase II subunit alpha',P19784,SINGLE PROTEIN,Homo sapiens,1228,2287
CHEMBL6029,Eukaryotic translation initiation factor 2-alpha kinase 1,Q9BQI3,SINGLE PROTEIN,Homo sapiens,556,740
CHEMBL3530,Dual specificity mitogen-activated protein kinase kinase 7,O14733,SINGLE PROTEIN,Homo sapiens,938,1227
CHEMBL4246,Tyrosine-protein kinase Tec,P42680,SINGLE PROTEIN,Homo sapiens,1367,2557
CHEMBL4852,Mitogen-activated protein kinase kinase kinase kinase 5,Q9Y4K4,SINGLE PROTEIN,Homo sapiens,1385,1640
CHEMBL3829,Calcium/calmodulin-dependent protein kinase type II subunit gamma,Q13555,SINGLE PROTEIN,Homo sapiens,1385,1909
CHEMBL3384,Serine/threonine-protein kinase N1,Q16512,SINGLE PROTEIN,Homo sapiens,715,970
CHEMBL5435,Serine/threonine-protein kinase ULK2,Q8IYT8,SINGLE PROTEIN,Homo sapiens,515,743
CHEMBL5776,Mitogen-activated protein kinase kinase kinase 7,O43318,SINGLE PROTEIN,Homo sapiens,919,1434
CHEMBL4576,Homeodomain-interacting protein kinase 2,Q9H2X6,SINGLE PROTEIN,Homo sapiens,1423,1776
CHEMBL4487,Serine/threonine-protein kinase PAK 2,Q13177,SINGLE PROTEIN,Homo sapiens,1308,2067
CHEMBL6003,Testis-specific serine/threonine-protein kinase 1,Q9BXA7,SINGLE PROTEIN,Homo sapiens,1473,2143
CHEMBL5358,eIF-2-alpha kinase GCN2,Q9P2K8,SINGLE PROTEIN,Homo sapiens,936,2203
CHEMBL4948,Dual specificity mitogen-activated protein kinase kinase 5,Q13163,SINGLE PROTEIN,Homo sapiens,583,792
CHEMBL5261,Serine/threonine-protein kinase TAO1,Q7L7X3,SINGLE PROTEIN,Homo sapiens,1658,2137
CHEMBL3835,Serine/threonine-protein kinase Nek2,P51955,SINGLE PROTEIN,Homo sapiens,2622,3769
