molecule_chembl_id,canonical_smiles
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
CHEMBL10009,CCCC(=O)NCCc1c2n(c3ccc(OC)cc13)Cc1ccccc1-2
CHEMBL10316,c1ccc2c(c1)OCC(C1=NCCN1)O2
CHEMBL10284,CC[C@H](NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1
CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CHEMBL1014,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CHEMBL1017,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
CHEMBL1030,O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl
CHEMBL1031,O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl
CHEMBL1051,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
CHEMBL100473,N#CC(=C(/N)Sc1ccccc1N)/C(C#N)=C(/N)Sc1ccccc1N
CHEMBL100206,O=C(O)CCSC1=CC(=O)c2ccccc2C1=O
CHEMBL101581,COc1cc2nccc(Oc3cccc(Br)c3)c2cc1OC
CHEMBL100714,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC
CHEMBL102106,CCCCCCCCCCCCOc1cccc2c1C(=O)O[C@]2(CO)COC(C)=O
CHEMBL100739,CCCCCCCCCCCCOc1cccc2c1C(=O)O[C@@]2(CO)COC(C)=O
CHEMBL100914,CCCCCCCCCCOc1cccc2c1C(=O)O[C@@]2(CO)COC(C)=O
CHEMBL101616,C=CCC(=O)Oc1cccc2c1C(=O)O[C@]2(CO)COC(C)=O
CHEMBL102042,CCCCCCCC(=O)OC[C@H](CO)OC(C)=O
CHEMBL101461,CC(=O)Nc1oc(-c2cncc(-c3ccccc3)c2)nc1-c1ccccc1
CHEMBL101221,CC(=O)Nc1oc(-c2cc3ccccc3cc2O)nc1-c1ccccc1
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL100818,COc1ccc2sc3c(c2c1)NC[C@H](C)NC3=O
CHEMBL101917,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3Cl)c2cc1OC
CHEMBL101325,CC(=O)Nc1oc(-c2cncc(-c3cccc(Cl)c3)c2)nc1-c1ccccc1
CHEMBL103595,c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCN1CCOCC1
CHEMBL103104,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1
CHEMBL103115,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1
CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC
CHEMBL102346,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC
CHEMBL102362,O=C(O)c1cc(/C=C/c2cc(O)ccc2O)ccc1O
CHEMBL103860,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O
CHEMBL103552,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O
CHEMBL102821,O=C(O)c1cc(CCc2ccc(O)c(O)c2)ccc1O
CHEMBL100446,O=C(O)c1cc(-c2ccc3c(O)ccc(O)c3c2)ccc1O
CHEMBL103960,O=C(O)c1cc(-c2ccc3c(O)c(O)ccc3c2)ccc1O
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
CHEMBL101965,N#CCCN(CCC#N)CCCN(CCCN(CCC#N)CCC#N)CCCN(CCN)CCCN(CCCN(CCC#N)CCC#N)CCCN(CCC#N)CCC#N
CHEMBL103307,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1
CHEMBL103864,C[C@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1
CHEMBL102651,C[C@@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1
CHEMBL105739,Cc1cc(C)c(/C=C2/C(=O)Nc3ccccc32)[nH]1
CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1
CHEMBL105442,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl
CHEMBL103014,C[C@@H](Nc1ncnc2c1sc1ccccc12)c1ccccc1
CHEMBL106061,CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
CHEMBL103080,CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1
CHEMBL103628,CN1CCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC1
CHEMBL104264,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1
CHEMBL106072,O=C(CBr)c1ccc([N+](=O)[O-])cc1
CHEMBL102953,O=C(CBr)c1ccccc1
CHEMBL105712,O=C(CCl)c1ccccc1
CHEMBL105620,CN1CCOCCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
CHEMBL103006,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OC)cc2)cc1
CHEMBL103009,COc1ccc(C(=O)CBr)cc1
